"PID","Sale_Price"
527105030,187711.551417029
527145080,180793.177537047
527163010,175829.772250422
527165230,172896.783865399
527182190,216077.954622393
527225035,182306.727339122
527402250,151600.436430034
527403020,136815.646123085
527427230,188982.004923132
527451410,106761.700933894
528108120,361648.3999719
528120120,320426.993517231
528176010,478655.226460047
528240070,208410.827881434
528250100,174185.070946482
528292020,209612.200378441
528382020,280593.930924018
528456160,196885.66685035
528458070,188450.394503125
528458110,250381.125033653
528477080,232192.237806548
528480090,215915.1123082
531380080,224179.281803301
531451280,195761.670438149
531452050,129958.13033425
531452180,197548.510493665
531453010,147532.487827656
531453040,167039.721340422
531477050,112309.706907316
532354090,150146.757499616
532376160,132719.361438562
532377100,133798.412288378
532479070,173376.837842833
533210060,159025.58018683
533212060,164090.006397724
533213030,226078.894278163
533221090,171526.704008966
533223100,156363.506873724
533253060,174304.022621071
533253210,194822.559780887
534176230,159286.821732615
535126040,207280.186128788
535153070,139311.933395561
535175180,137276.280917072
535302200,125971.069048699
535304060,123734.278999442
535304180,135210.648066039
535425010,226418.916517742
535457010,144773.837362752
902106140,113150.339849171
902125080,114430.511658021
902128170,110469.981274794
902305110,154392.589505627
902329030,171779.093159989
902402010,140990.639271334
903204040,140122.309932807
903226160,107540.777875825
903228150,128917.2326011
903234050,120689.258659048
903426180,124488.362073041
903430080,119660.243767491
904101110,177366.129787851
904300150,117514.158523008
904302260,117853.625678839
904350045,107607.572991107
904352190,146831.133570279
905104210,123807.413580761
905106170,128780.633192883
905107110,157153.51612319
905352140,219530.209832586
905453080,204212.485212858
905475510,117214.939157354
906225210,149358.796006525
906378100,233449.645879381
906380190,188337.406422973
906402200,263129.110054376
907125090,145569.069768089
907262050,216052.767256474
907280040,222152.288268218
908102060,75331.8359634396
908102130,106549.203930477
908226130,92067.0770006318
908275300,135898.480754316
909100080,131414.109505943
909100110,134517.235555014
909101070,80794.7335588985
909176150,119896.045886682
909250060,165044.086517226
909426080,175137.031919282
909428280,271117.278437456
909455030,170214.124075613
914475090,167609.698985406
914478045,151028.656246717
916455170,210843.862123021
923201020,153054.985658495
923225440,101108.681989813
923226250,88763.9428003978
923226320,85426.1803410147
923426070,136968.393715347
924100050,143283.91295712
526302110,122244.638704389
526355080,247181.609706742
527105130,258976.243644654
527146010,251373.972626145
527163070,172966.661740908
527164060,174921.145050583
527164090,168132.081458182
527165130,172149.714258308
527166010,221786.842268983
527258020,237321.031451959
527353060,235420.602984516
527368010,232421.904656934
527401160,132597.338820423
527404030,140216.077602028
527405130,118192.804759851
527405160,113967.650371645
527425110,122232.888277328
527451320,108454.528822386
527451640,105220.013463943
527453050,147460.536020285
527453060,146117.492882066
527454050,142920.008323047
527455050,147322.639230101
528108140,395551.734690406
528110010,417865.480181917
528110020,482967.971507275
528118060,326167.692512705
528120030,339386.431720457
528120160,303399.759866641
528166060,453127.607602552
528166090,473213.841228984
528168030,289728.264980999
528174060,196785.487055713
528180120,329547.196767906
528186010,302462.743309881
528188020,198158.975859368
528218090,173698.392047992
528228290,198787.609715355
528228435,193575.281197781
528235200,169573.315153847
528240060,186925.45922381
528240150,189605.03621988
528275070,227448.536826406
528290030,173222.112974083
528315090,309479.753879317
528321010,351553.188316249
528327070,318881.931401872
528344040,319651.440922092
528385050,247901.797651278
528390100,336119.064175546
528431020,249241.593263432
528435030,253255.02269967
528435050,270925.044928049
528456180,216441.99740255
528458040,220712.128483985
528458180,224783.183429088
528477070,259069.421667325
528480040,256142.417976621
528482130,235589.751154281
528488100,187559.859902969
531369020,237542.10736965
531371050,178292.745926119
531375090,138658.844681141
531450120,181015.260056081
531452010,133112.113449309
531479020,106150.850106053
532354230,117496.443069396
532377130,134031.676954219
532478020,280140.621638367
533213010,220252.179576436
533223030,170224.923077377
533236050,207472.113649887
533252040,281484.681605258
534128020,194611.82976856
534152120,170647.171231826
534250400,204079.950529401
534251030,172677.355518462
534252240,169238.945509892
534275060,125013.094858982
534275100,120859.186739223
534278070,156611.825935051
534400290,165292.681608372
534402170,172681.552746146
534426110,137760.629559775
534429150,166488.659121549
534476150,167321.919631125
534476320,128674.496562831
535178120,147810.085978237
535301170,154933.894236454
535304100,115251.690577608
535351050,150869.269766191
535353040,135379.934813515
535376060,144972.357797125
535381040,139625.892395332
535383060,63938.8326022895
535383120,86849.2891381741
535426150,118617.30901068
535450070,136325.282271388
535451250,143548.868937243
535452100,133408.470815836
535452140,118750.755181297
535453100,131217.305697848
535453200,142955.583410009
535477150,116527.777395317
902101010,117592.290310368
902102080,121647.053375637
902103120,138382.122086288
902105050,121171.48758829
902109130,102964.273546775
902110080,139255.848977496
902134120,107824.071179001
902206260,96862.6558475997
902301080,113244.781739105
902326030,213914.297414381
902329080,127795.178924231
902402150,108843.890217843
902477120,71281.0775348609
903200080,184362.387262056
903228120,113254.473789428
903230100,123750.32181066
903234220,128382.239263495
903400220,161992.326476051
903425245,169909.124165714
903430060,121652.455302246
903458170,104792.727449579
903475100,122286.35581536
903476090,138661.823778357
904301060,156447.317214515
904351200,127626.74386256
905101260,154838.249313737
905377010,127432.873052764
905401100,199238.9346419
905452040,146315.069073689
905452050,88817.7956738132
905475160,129617.744370047
906223060,187866.659943249
906223080,217768.720891917
906226110,122858.665145496
906226140,121178.958513989
906230010,268114.133338286
906340100,314153.9807612
906340110,293079.792502093
906378110,229527.785102619
906380130,232637.39803147
906380220,215954.414513789
906392130,171076.589003319
906426210,241048.587849504
907126010,147259.813902068
907126050,142130.117277089
907180130,213309.603637414
907185050,197674.61557281
